file_name,source_path_in_archive,first_text_block,first_heading,body_paragraph_count,body_table_count,content_control_count,field_code_count,header_count,footer_count,glossary_doc_part_count,footnote_count,endnote_count
prozessbeschreibung.dotx,vorlagen/prozessbeschreibung.dotx,Prozessbeschreibung,,280,10,3,26,3,4,2,0,0
pruefprotokoll.dotx,vorlagen/pruefprotokoll.dotx,Prüfprotokoll,,171,8,3,20,3,4,2,0,0
publikation.dotx,vorlagen/publikation.dotx,Publikation,,151,9,3,13,3,3,2,0,0
qs-und-risikobericht.dotx,vorlagen/qs-und-risikobericht.dotx,QS- und Risikobericht,,199,8,3,25,3,4,2,0,0
rechtsgrundlagenanalyse.dotx,vorlagen/rechtsgrundlagenanalyse.dotx,Rechtsgrundlagenanalyse,,230,12,3,26,3,4,2,0,0
releasebericht.dotx,vorlagen/releasebericht.dotx,Releasebericht,,301,12,3,27,3,4,2,0,0
service-level-agreement.dotx,vorlagen/service-level-agreement.dotx,Service Level Agreement,,396,14,3,29,3,3,2,0,0
situationsanalyse.dotx,vorlagen/situationsanalyse.dotx,Situationsanalyse,,293,16,3,27,3,3,2,0,0
stakeholderinteressen.dotx,vorlagen/stakeholderinteressen.dotx,Stakeholderinteressen,,210,9,3,22,3,4,2,0,0
stakeholderliste.dotx,vorlagen/stakeholderliste.dotx,Stakeholderliste,,161,8,3,20,3,4,2,0,0
studie.dotx,vorlagen/studie.dotx,Studie,,869,27,60,86,3,10,59,0,0
systemkonzept.dotx,vorlagen/systemkonzept.dotx,Systemkonzept,Beschreibung,220,10,3,14,3,3,2,0,0
testkonzept.dotx,vorlagen/testkonzept.dotx,Testkonzept,,354,16,3,20,3,3,2,0,0
testprotokoll.dotx,vorlagen/testprotokoll.dotx,Testprotokoll,,152,8,3,28,3,5,2,0,0
vereinbarung.dotx,vorlagen/vereinbarung.dotx,Vereinbarung,,197,8,3,25,3,3,2,0,0
